time,status,down rate,up rate,down SNR mrg,FEC,CRC
19/10 13:13:48,up,3913 kbps,812 kbps,12.3 dB,0,0
19/10 13:13:54,up,3913 kbps,812 kbps,12.3 dB,0,0
19/10 13:13:59,up,3913 kbps,812 kbps,12.3 dB,0,0
19/10 13:14:05,up,3913 kbps,812 kbps,12.3 dB,0,0
19/10 13:14:10,up,3913 kbps,812 kbps,12.3 dB,0,0
19/10 13:14:16,up,3913 kbps,812 kbps,12.3 dB,0,0
19/10 13:14:22,up,3913 kbps,812 kbps,12.3 dB,0,0
19/10 13:14:27,up,3913 kbps,812 kbps,12.3 dB,0,0
19/10 13:14:33,up,3913 kbps,812 kbps,12.3 dB,0,0
19/10 13:14:38,up,3913 kbps,812 kbps,12.3 dB,0,0
19/10 13:14:44,up,3913 kbps,812 kbps,12.3 dB,0,0
19/10 13:14:50,up,3913 kbps,812 kbps,12.0 dB,0,0
19/10 13:14:56,up,3913 kbps,812 kbps,7.2 dB,1296,108
19/10 13:15:01,down,,,,,
19/10 13:15:07,down,,,,,
19/10 13:15:12,wait for init,,,,,
19/10 13:15:18,initializing,,,,,
19/10 13:15:24,initializing,,,,,
19/10 13:15:29,initializing,,,,,
19/10 13:15:35,down,,,,,
19/10 13:15:40,down,,,,,
19/10 13:15:46,wait for init,,,,,
19/10 13:15:51,wait for init,,,,,
19/10 13:15:57,initializing,,,,,
19/10 13:16:03,initializing,,,,,
19/10 13:16:08,up,9492 kbps,812 kbps,12.2 dB,0,0
19/10 13:16:14,up,9492 kbps,812 kbps,12.0 dB,0,0
19/10 13:16:19,up,9492 kbps,812 kbps,12.0 dB,0,0
19/10 13:16:25,up,9492 kbps,812 kbps,12.0 dB,0,0
19/10 13:16:31,up,9492 kbps,812 kbps,12.0 dB,0,0
19/10 13:16:36,up,9492 kbps,812 kbps,11.9 dB,0,0
19/10 13:16:42,up,9492 kbps,812 kbps,11.9 dB,0,0
19/10 13:16:47,up,9492 kbps,812 kbps,11.8 dB,0,0
19/10 13:16:53,up,9492 kbps,812 kbps,11.7 dB,0,0
19/10 13:16:58,up,9492 kbps,812 kbps,11.8 dB,0,0
19/10 13:17:04,up,9492 kbps,812 kbps,11.6 dB,0,0
19/10 13:17:10,up,9492 kbps,812 kbps,11.5 dB,0,0
19/10 13:17:15,up,9492 kbps,812 kbps,11.5 dB,0,0
19/10 13:17:21,up,9492 kbps,812 kbps,11.5 dB,0,0
19/10 13:17:26,up,9492 kbps,812 kbps,11.5 dB,0,0
19/10 13:17:32,up,9492 kbps,812 kbps,11.5 dB,0,0
19/10 13:17:37,up,9492 kbps,812 kbps,11.5 dB,0,0
19/10 13:17:43,up,9492 kbps,812 kbps,11.5 dB,0,0
19/10 13:17:49,up,9492 kbps,812 kbps,11.4 dB,0,0
19/10 13:17:54,up,9492 kbps,812 kbps,11.5 dB,0,0
19/10 13:18:00,up,9492 kbps,812 kbps,11.5 dB,0,0
19/10 13:18:06,up,9492 kbps,812 kbps,11.0 dB,78,0
19/10 13:18:11,up,9492 kbps,812 kbps,11.2 dB,112,0
19/10 13:18:17,up,9492 kbps,812 kbps,11.1 dB,112,0
19/10 13:18:22,up,9492 kbps,812 kbps,11.1 dB,112,0
19/10 13:18:28,up,9492 kbps,812 kbps,0.1 dB,621,113
19/10 13:18:34,down,,,,,
19/10 13:18:39,down,,,,,
19/10 13:18:45,wait for init,,,,,
19/10 13:18:50,initializing,,,,,
19/10 13:18:56,initializing,,,,,
19/10 13:19:02,initializing,,,,,
19/10 13:19:07,down,,,,,
19/10 13:19:13,down,,,,,
19/10 13:19:18,wait for init,,,,,
19/10 13:19:24,initializing,,,,,
19/10 13:19:29,initializing,,,,,
19/10 13:19:35,initializing,,,,,
19/10 13:19:41,up,9538 kbps,812 kbps,12.3 dB,0,0
19/10 13:19:46,up,9538 kbps,812 kbps,12.3 dB,0,0
19/10 13:19:52,up,9538 kbps,812 kbps,12.3 dB,0,0
19/10 13:19:58,up,9538 kbps,812 kbps,11.9 dB,0,0
19/10 13:20:03,up,9538 kbps,812 kbps,11.2 dB,465,0
19/10 13:20:09,up,9538 kbps,812 kbps,12.2 dB,465,0
19/10 13:20:14,up,9538 kbps,812 kbps,12.1 dB,1653,27
19/10 13:20:20,up,9538 kbps,812 kbps,12.0 dB,1693,27
19/10 13:20:26,up,9538 kbps,812 kbps,12.0 dB,1693,27
19/10 13:20:31,up,9538 kbps,812 kbps,12.0 dB,1693,27
19/10 13:20:37,up,9538 kbps,812 kbps,12.0 dB,1693,27
19/10 13:20:42,up,9538 kbps,812 kbps,11.9 dB,1693,27
19/10 13:20:48,up,9538 kbps,812 kbps,11.8 dB,1693,27
19/10 13:20:54,up,9538 kbps,812 kbps,11.8 dB,1693,27
19/10 13:20:59,up,9538 kbps,812 kbps,11.8 dB,1693,27
19/10 13:21:05,up,9538 kbps,812 kbps,11.7 dB,1693,27
19/10 13:21:10,up,9538 kbps,812 kbps,11.7 dB,1693,27
19/10 13:21:16,up,9538 kbps,812 kbps,11.7 dB,1693,27
19/10 13:21:21,up,9538 kbps,812 kbps,11.6 dB,1693,27
19/10 13:21:27,up,9538 kbps,812 kbps,11.6 dB,1693,27
19/10 13:21:33,up,9538 kbps,812 kbps,11.5 dB,1693,27
19/10 13:21:38,up,9538 kbps,812 kbps,11.5 dB,1693,27
19/10 13:21:44,up,9538 kbps,812 kbps,11.3 dB,1693,27
19/10 13:21:49,up,9538 kbps,812 kbps,11.4 dB,1693,27
19/10 13:21:55,up,9538 kbps,812 kbps,11.3 dB,1693,27
19/10 13:22:00,up,9538 kbps,812 kbps,11.3 dB,1693,27
19/10 13:22:06,up,9538 kbps,812 kbps,11.4 dB,1693,27
19/10 13:22:12,up,9538 kbps,812 kbps,11.4 dB,1693,27
